Feature,Importance
DaysUntilExpiration,0.20517130666916397
DaysSinceOpened,0.12967912561916886
IsSensitive,0.10252371591178425
IsOpened,0.08982885986995816
PreviousWasteCount,0.06276117835422353
Quantity,0.04933014509857431
StorageCondition_Oda Sıcaklığı,0.04331123155107436
Category_Kuru Gıda,0.03761204123123723
PreviousSharedCount,0.03520073298938064
StorageCondition_Dondurucu,0.023657436649364105
StorageCondition_Buzdolabı,0.016390521010554732
Category_Fırın Ürünü,0.012234237713936181
Season_Yaz,0.010716219762714885
Season_İlkbahar,0.009743026596782505
Category_Pişmiş Yemek,0.009351257918472093
Season_Kış,0.009076055491022233
Category_Kahvaltılık,0.008951020296817911
Season_Sonbahar,0.008715553161825387
Category_Et Ürünleri,0.007187103822138835
Category_Süt Ürünleri,0.0050973538418906455
