ProductName,Category,StorageCondition,DaysUntilExpiration,DaysSinceOpened,IsOpened,IsSensitive,Quantity,PreviousWasteCount,PreviousSharedCount,Season,RiskScore,RiskLabel
Soğan,Sebze,Oda Sıcaklığı,4,0,False,False,3.62,2,2,Sonbahar,29,Low
Kırmızı Et,Et Ürünleri,Oda Sıcaklığı,0,10,True,True,4.66,2,0,Kış,100,Critical
Tost Ekmeği,Fırın Ürünü,Buzdolabı,3,0,False,False,4.06,4,0,Sonbahar,37,Medium
Lavaş,Fırın Ürünü,Buzdolabı,4,0,False,False,3.16,1,4,Yaz,17,Low
Peynir,Süt Ürünleri,Dondurucu,18,0,False,True,1.9,2,2,İlkbahar,11,Low
Soğan,Sebze,Dondurucu,21,0,False,False,1.37,3,3,Kış,0,Low
Kabak,Sebze,Buzdolabı,7,0,False,True,2.95,0,2,Yaz,27,Low
Kaşar Peyniri,Süt Ürünleri,Dondurucu,6,0,False,True,3.26,6,5,İlkbahar,29,Low
Kırmızı Et,Et Ürünleri,Oda Sıcaklığı,-3,0,False,True,2.51,2,2,İlkbahar,82,Critical
Elma,Meyve,Buzdolabı,19,0,False,False,4.79,4,5,Yaz,6,Low
Kırmızı Et,Et Ürünleri,Oda Sıcaklığı,2,0,False,True,3.9,1,3,Kış,66,High
Peynir,Süt Ürünleri,Buzdolabı,-2,0,False,True,0.7,4,2,Sonbahar,68,High
Tavuk,Et Ürünleri,Oda Sıcaklığı,4,3,True,True,0.92,6,1,Yaz,100,Critical
Süt,Süt Ürünleri,Oda Sıcaklığı,-2,3,True,True,4.72,3,4,Kış,100,Critical
Armut,Meyve,Oda Sıcaklığı,6,8,True,True,1.64,1,2,Yaz,90,Critical
Meyve Suyu,İçecek,Dondurucu,2,0,False,True,1.22,6,1,Sonbahar,60,High
Un,Kuru Gıda,Dondurucu,50,0,False,False,4.22,5,4,İlkbahar,4,Low
Tavuk,Et Ürünleri,Buzdolabı,1,1,True,True,2.91,4,3,İlkbahar,76,High
Açılmış Konserve,Konserve,Dondurucu,-3,8,True,True,3.34,3,4,İlkbahar,89,Critical
Çilek,Meyve,Dondurucu,3,0,False,True,0.3,6,2,İlkbahar,48,Medium
Tavuk,Et Ürünleri,Buzdolabı,0,7,True,True,2.26,0,3,İlkbahar,87,Critical
Kabak,Sebze,Buzdolabı,-3,0,False,True,3.01,5,4,Yaz,76,High
Çorba,Pişmiş Yemek,Dondurucu,2,9,True,True,3.02,3,3,Kış,81,Critical
Makarna,Kuru Gıda,Dondurucu,96,0,False,False,1.32,0,1,İlkbahar,0,Low
Kaşar Peyniri,Süt Ürünleri,Dondurucu,13,5,True,True,2.26,1,1,İlkbahar,46,Medium
Meyve Suyu,İçecek,Oda Sıcaklığı,6,9,True,True,1.59,5,0,Kış,100,Critical
Brokoli,Sebze,Oda Sıcaklığı,-2,5,True,True,1.84,6,5,Kış,100,Critical
Elma,Meyve,Buzdolabı,8,10,True,False,2.77,5,1,Kış,63,High
Elma,Meyve,Buzdolabı,1,3,True,False,3.38,6,5,Sonbahar,73,High
Salam,Et Ürünleri,Oda Sıcaklığı,-2,0,False,True,1.79,5,3,İlkbahar,92,Critical
Pişmiş Pilav,Pişmiş Yemek,Oda Sıcaklığı,-3,0,False,True,1.69,0,5,Sonbahar,68,High
Armut,Meyve,Buzdolabı,8,0,False,True,1.72,0,4,Yaz,23,Low
Zeytin,Kahvaltılık,Dondurucu,30,5,True,False,2.92,2,0,İlkbahar,37,Medium
Yoğurt,Süt Ürünleri,Buzdolabı,-3,0,False,True,0.43,0,3,Sonbahar,50,Medium
Etli Yemek,Pişmiş Yemek,Buzdolabı,-1,8,True,True,3.03,6,2,Sonbahar,100,Critical
Balık,Et Ürünleri,Buzdolabı,1,0,False,True,1.01,0,5,İlkbahar,36,Medium
Çorba,Pişmiş Yemek,Oda Sıcaklığı,2,0,False,True,3.61,1,5,İlkbahar,62,High
Ekmek,Fırın Ürünü,Oda Sıcaklığı,-1,1,True,False,3.51,6,4,Yaz,81,Critical
Brokoli,Sebze,Buzdolabı,2,2,True,True,2.64,1,2,Kış,66,High
Makarna,Kuru Gıda,Oda Sıcaklığı,187,8,True,False,3.99,2,0,Sonbahar,49,Medium
Pişmiş Makarna,Pişmiş Yemek,Dondurucu,2,8,True,True,0.44,4,4,Sonbahar,83,Critical
Sucuk,Et Ürünleri,Buzdolabı,15,9,True,True,3.9,4,0,İlkbahar,68,High
Biber,Sebze,Dondurucu,7,4,True,True,3.61,4,4,İlkbahar,51,Medium
Reçel,Kahvaltılık,Dondurucu,28,0,False,False,0.84,3,5,Sonbahar,0,Low
Salatalık,Sebze,Oda Sıcaklığı,6,10,True,True,1.64,6,4,Sonbahar,98,Critical
Krema,Süt Ürünleri,Buzdolabı,3,10,True,True,3.56,3,0,İlkbahar,85,Critical
Üzüm,Meyve,Dondurucu,-3,10,True,True,1.78,6,1,İlkbahar,100,Critical
Kapalı Konserve,Konserve,Buzdolabı,360,9,True,False,4.27,2,5,Sonbahar,35,Medium
Sucuk,Et Ürünleri,Dondurucu,7,0,False,True,3.7,3,5,Kış,17,Low
Pirinç,Kuru Gıda,Buzdolabı,136,7,True,False,3.23,1,0,Kış,41,Medium
Makarna,Kuru Gıda,Dondurucu,169,0,False,False,4.53,5,0,İlkbahar,12,Low
Çilek,Meyve,Buzdolabı,-2,0,False,True,1.09,4,3,Yaz,74,High
Süt,Süt Ürünleri,Buzdolabı,2,0,False,True,0.46,4,3,Kış,56,Medium
Çilek,Meyve,Dondurucu,0,0,False,True,4.33,6,1,Yaz,78,High
Pişmiş Makarna,Pişmiş Yemek,Oda Sıcaklığı,-3,0,False,True,1.02,5,0,İlkbahar,98,Critical
Ekmek,Fırın Ürünü,Dondurucu,3,4,True,False,0.93,0,1,Sonbahar,39,Medium
Kıyma,Et Ürünleri,Oda Sıcaklığı,1,0,False,True,0.8,4,1,Yaz,90,Critical
Zeytin,Kahvaltılık,Oda Sıcaklığı,56,0,False,False,0.9,2,0,İlkbahar,12,Low
Kıyma,Et Ürünleri,Oda Sıcaklığı,2,7,True,True,2.65,2,2,Sonbahar,100,Critical
Sucuk,Et Ürünleri,Oda Sıcaklığı,7,0,False,True,3.88,6,2,Sonbahar,65,High
Süt,Süt Ürünleri,Buzdolabı,4,6,True,True,2.6,0,0,Kış,73,High
Çorba,Pişmiş Yemek,Oda Sıcaklığı,-3,0,False,True,2.65,1,3,Yaz,84,Critical
Karpuz,Meyve,Dondurucu,2,0,False,True,2.13,0,2,İlkbahar,34,Medium
Nohut,Kuru Gıda,Dondurucu,108,1,True,False,2.05,4,1,Sonbahar,26,Low
Portakal,Meyve,Dondurucu,16,0,False,False,2.94,0,3,Kış,0,Low
Ayran,Süt Ürünleri,Oda Sıcaklığı,5,6,True,True,1.22,3,5,Sonbahar,97,Critical
Açılmış Konserve,Konserve,Dondurucu,-1,8,True,True,2.75,2,5,Sonbahar,83,Critical
Makarna,Kuru Gıda,Dondurucu,125,0,False,False,3.17,5,4,Sonbahar,4,Low
Salatalık,Sebze,Dondurucu,2,0,False,True,0.68,6,2,Kış,58,Medium
Şeker,Kuru Gıda,Oda Sıcaklığı,144,0,False,False,3.65,0,5,Kış,0,Low
Mercimek,Kuru Gıda,Oda Sıcaklığı,174,8,True,False,4.64,6,4,Sonbahar,57,Medium
Reçel,Kahvaltılık,Buzdolabı,59,7,True,False,2.51,6,0,Sonbahar,61,High
Açılmış Konserve,Konserve,Buzdolabı,0,1,True,True,4.28,5,0,Yaz,100,Critical
Kaşar Peyniri,Süt Ürünleri,Buzdolabı,17,5,True,True,3.86,5,0,İlkbahar,72,High
Süt,Süt Ürünleri,Dondurucu,7,0,False,True,4.25,2,2,Yaz,27,Low
Pirinç,Kuru Gıda,Buzdolabı,20,0,False,False,3.76,6,2,Kış,20,Low
Üzüm,Meyve,Oda Sıcaklığı,7,9,True,True,3.87,1,0,Yaz,94,Critical
Kaşar Peyniri,Süt Ürünleri,Dondurucu,4,3,True,True,3.25,6,5,İlkbahar,70,High
Nohut,Kuru Gıda,Dondurucu,141,0,False,False,4.61,0,3,Kış,0,Low
Muz,Meyve,Dondurucu,3,7,True,True,3.2,4,1,İlkbahar,79,High
Reçel,Kahvaltılık,Oda Sıcaklığı,75,4,True,False,2.29,6,0,Yaz,56,Medium
Un,Kuru Gıda,Dondurucu,114,0,False,False,0.85,1,3,Kış,0,Low
Etli Yemek,Pişmiş Yemek,Dondurucu,3,0,False,True,1.09,6,5,İlkbahar,42,Medium
Domates,Sebze,Dondurucu,-3,8,True,True,2.87,4,3,İlkbahar,95,Critical
Ispanak,Sebze,Dondurucu,-3,10,True,True,0.99,3,2,İlkbahar,93,Critical
Ayran,Süt Ürünleri,Oda Sıcaklığı,-3,0,False,True,4.69,5,2,İlkbahar,94,Critical
Etli Yemek,Pişmiş Yemek,Buzdolabı,-2,6,True,True,0.41,1,4,İlkbahar,89,Critical
Patates,Sebze,Buzdolabı,16,10,True,False,0.8,2,0,İlkbahar,45,Medium
Domates,Sebze,Buzdolabı,-3,5,True,True,1.8,3,1,İlkbahar,100,Critical
Ayran,Süt Ürünleri,Oda Sıcaklığı,-3,4,True,True,0.64,3,4,Sonbahar,100,Critical
Lavaş,Fırın Ürünü,Buzdolabı,5,0,False,False,0.84,0,1,Yaz,19,Low
Tost Ekmeği,Fırın Ürünü,Buzdolabı,4,5,True,False,1.43,3,1,Yaz,68,High
Un,Kuru Gıda,Dondurucu,2,5,True,False,0.34,5,3,İlkbahar,74,High
Pişmiş Pilav,Pişmiş Yemek,Dondurucu,-1,0,False,True,2.17,1,5,Yaz,50,Medium
Armut,Meyve,Buzdolabı,6,0,False,True,3.95,4,5,İlkbahar,29,Low
Zeytin,Kahvaltılık,Buzdolabı,24,0,False,False,1.27,5,0,Sonbahar,20,Low
Patates,Sebze,Dondurucu,6,6,True,False,4.31,5,0,Kış,57,Medium
Patates,Sebze,Dondurucu,30,0,False,False,2.39,3,3,Sonbahar,0,Low
Tost Ekmeği,Fırın Ürünü,Buzdolabı,-3,1,True,False,4.44,3,4,Sonbahar,65,High
Kapalı Konserve,Konserve,Oda Sıcaklığı,297,0,False,False,3.23,1,4,Sonbahar,0,Low
Nohut,Kuru Gıda,Buzdolabı,128,1,True,False,0.26,0,5,Yaz,10,Low
Kapalı Konserve,Konserve,Buzdolabı,263,0,False,False,4.22,1,5,Sonbahar,0,Low
Tost Ekmeği,Fırın Ürünü,Buzdolabı,7,2,True,False,4.79,3,3,İlkbahar,34,Medium
Zeytinyağlı Yemek,Pişmiş Yemek,Oda Sıcaklığı,3,0,False,True,2.61,3,2,Yaz,74,High
Poğaça,Fırın Ürünü,Buzdolabı,0,0,False,True,2.43,6,1,Yaz,86,Critical
Balık,Et Ürünleri,Buzdolabı,2,0,False,True,2.47,1,4,İlkbahar,42,Medium
Biber,Sebze,Buzdolabı,-1,7,True,True,2.65,0,2,Yaz,97,Critical
Pişmiş Pilav,Pişmiş Yemek,Buzdolabı,-3,5,True,True,1.07,6,4,Kış,100,Critical
Tost Ekmeği,Fırın Ürünü,Oda Sıcaklığı,-3,0,False,False,3.34,5,0,Sonbahar,65,High
Havuç,Sebze,Oda Sıcaklığı,2,0,False,False,4.09,2,0,Sonbahar,43,Medium
Limon,Meyve,Dondurucu,20,6,True,False,4.94,5,1,Sonbahar,47,Medium
Un,Kuru Gıda,Buzdolabı,71,3,True,False,1.68,4,1,Yaz,42,Medium
Ekmek,Fırın Ürünü,Dondurucu,2,0,False,False,4.59,5,1,Yaz,41,Medium
Domates,Sebze,Dondurucu,0,9,True,True,4.66,3,0,Yaz,100,Critical
Brokoli,Sebze,Buzdolabı,6,6,True,True,1.94,0,4,Kış,52,Medium
Kabak,Sebze,Buzdolabı,-1,4,True,True,1.32,6,3,Yaz,100,Critical
Brokoli,Sebze,Oda Sıcaklığı,0,0,False,True,0.26,6,3,Kış,96,Critical
