RecipeName,RecipeCategory,Difficulty,PreparationTimeMinutes,TotalIngredientCount,MatchedIngredientCount,MissingIngredientCount,MatchedIngredientRatio,RiskyIngredientCount,AverageDaysUntilExpiration,HasSensitiveIngredient,UserLikedSimilarRecipes,UserSavedSimilarRecipes,UserCookedSimilarRecipes,UserDislikedSimilarRecipes,ViewedSimilarRecipes,Season,RecommendationScore,RecommendationLabel
Kıymalı Makarna,Ana Yemek,Orta,30,4,1,3,0.25,1,21,False,6,6,2,1,1,Kış,67.95,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,2,8,0.2,2,18,False,6,2,1,5,2,Yaz,0.0,Low
Sebze Çorbası,Çorba,Kolay,28,4,3,1,0.75,1,2,True,3,1,0,5,15,Kış,58.25,Medium
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,10,1,9,0.1,0,4,True,8,3,4,1,9,Yaz,52.3,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,5,0,5,0.0,0,14,True,5,3,1,2,8,Sonbahar,23.6,Low
Sebze Çorbası,Çorba,Kolay,28,6,4,2,0.667,1,6,False,3,1,2,2,9,İlkbahar,76.13,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,0,7,0.0,0,9,False,4,4,5,3,12,Kış,25.0,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,6,2,4,0.333,2,24,False,2,4,0,3,8,Yaz,18.27,Low
Sebze Çorbası,Çorba,Kolay,28,5,3,2,0.6,0,1,True,4,5,2,4,3,Sonbahar,77.6,High
Sebzeli Omlet,Kahvaltı,Kolay,15,6,2,4,0.333,1,27,False,1,2,4,3,7,Kış,40.07,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,8,1,7,0.125,1,10,True,5,0,0,1,4,Yaz,0.0,Low
Yoğurt Çorbası,Çorba,Orta,35,6,0,6,0.0,0,23,True,6,1,5,5,3,Sonbahar,0.0,Low
Peynirli Tost,Kahvaltı,Kolay,10,9,7,2,0.778,1,16,False,2,5,2,1,0,İlkbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,7,0,7,0.0,0,10,True,8,1,2,4,0,Yaz,0.0,Low
Mevsim Salata,Salata,Kolay,10,5,5,0,1.0,3,26,True,4,1,1,4,11,Yaz,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,9,9,0,1.0,4,0,True,6,1,5,1,12,Kış,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,8,6,2,0.75,4,22,False,1,4,2,5,0,Kış,80.25,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,6,0,6,0.0,0,1,True,0,2,4,0,2,Kış,32.4,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,1,5,0.167,1,20,False,2,6,3,3,13,Yaz,34.83,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,5,3,0.625,3,28,True,1,6,4,4,15,Yaz,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,9,7,2,0.778,2,5,False,8,5,4,0,9,Sonbahar,100.0,High
Mevsim Salata,Salata,Kolay,10,6,0,6,0.0,0,17,True,7,2,0,2,6,Yaz,12.2,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,5,5,0,1.0,4,4,False,3,0,3,5,14,İlkbahar,100.0,High
Peynirli Tost,Kahvaltı,Kolay,10,9,2,7,0.222,1,4,False,7,2,1,0,11,Sonbahar,57.78,Medium
Mercimek Çorbası,Çorba,Kolay,30,6,4,2,0.667,0,11,False,0,2,1,3,1,Yaz,30.53,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,4,1,3,0.25,0,11,False,3,4,3,4,6,Kış,32.95,Low
Sütlaç,Tatlı,Orta,45,9,9,0,1.0,0,20,True,5,4,1,2,10,Kış,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,4,0,4,0.0,0,1,False,4,4,4,3,10,Sonbahar,50.0,Medium
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,9,1,8,0.111,0,17,True,2,4,0,0,11,Yaz,18.89,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,9,1,8,0.111,0,19,True,8,0,5,0,14,Yaz,52.89,Medium
Peynirli Tost,Kahvaltı,Kolay,10,4,1,3,0.25,1,0,True,7,4,5,0,11,Sonbahar,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,9,3,6,0.333,2,15,True,8,1,1,1,7,Sonbahar,60.07,Medium
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,6,2,4,0.333,2,4,True,4,4,2,4,4,Yaz,59.47,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,4,1,3,0.25,1,23,False,5,5,2,4,15,İlkbahar,53.75,Medium
Tavuklu Salata,Salata,Orta,25,10,6,4,0.6,4,27,True,8,0,5,4,12,Kış,100.0,High
Mevsim Salata,Salata,Kolay,10,8,5,3,0.625,1,10,True,3,0,0,1,9,Sonbahar,66.67,Medium
Kıymalı Makarna,Ana Yemek,Orta,30,9,9,0,1.0,3,13,True,6,6,0,5,14,İlkbahar,100.0,High
Peynirli Tost,Kahvaltı,Kolay,10,8,0,8,0.0,0,10,False,8,3,5,1,6,İlkbahar,41.2,Low
Sebze Çorbası,Çorba,Kolay,28,5,2,3,0.4,2,21,False,0,6,3,1,8,Yaz,81.6,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,4,0,4,0.0,0,2,False,2,1,1,5,8,Yaz,0.0,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,4,0,4,0.0,0,22,False,0,2,3,4,12,Yaz,0.0,Low
Mevsim Salata,Salata,Kolay,10,5,2,3,0.4,0,0,True,1,1,0,0,11,Kış,60.0,Medium
Menemen,Kahvaltı,Kolay,20,5,2,3,0.4,2,13,True,8,4,4,1,8,Yaz,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,9,4,5,0.444,3,8,True,7,6,4,3,3,Sonbahar,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,10,4,6,0.4,3,23,False,0,5,2,4,1,İlkbahar,40.2,Low
Domates Çorbası,Çorba,Kolay,25,4,4,0,1.0,4,4,False,0,0,2,3,4,İlkbahar,95.8,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,4,1,3,0.25,0,10,True,6,3,4,2,0,İlkbahar,60.75,Medium
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,4,4,0,1.0,2,30,True,8,1,4,0,14,İlkbahar,100.0,High
Muzlu Pankek,Tatlı,Orta,25,4,2,2,0.5,1,0,True,7,3,0,2,1,Sonbahar,77.7,High
Menemen,Kahvaltı,Kolay,20,5,2,3,0.4,2,22,True,4,0,2,4,11,Yaz,46.0,Medium
Muzlu Pankek,Tatlı,Orta,25,4,1,3,0.25,0,1,True,7,1,1,5,12,Kış,32.75,Low
Yoğurt Çorbası,Çorba,Orta,35,8,8,0,1.0,0,22,True,8,1,5,0,11,Sonbahar,100.0,High
Sebze Çorbası,Çorba,Kolay,28,5,0,5,0.0,0,17,False,8,2,3,2,10,Yaz,36.0,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,9,2,7,0.222,2,4,True,8,4,4,1,7,Yaz,90.18,High
Tavuklu Salata,Salata,Orta,25,9,9,0,1.0,2,30,True,6,0,1,2,7,Sonbahar,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,7,6,1,0.857,3,23,True,4,6,0,4,7,Sonbahar,94.4,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,4,3,1,0.75,2,20,True,1,3,4,2,12,Kış,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,8,1,7,0.125,0,17,True,4,2,3,5,9,Yaz,0.0,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,4,4,0,1.0,3,4,False,7,5,4,0,0,Yaz,100.0,High
Domates Çorbası,Çorba,Kolay,25,8,4,4,0.5,2,30,False,0,5,3,1,10,Kış,84.5,High
Yoğurt Çorbası,Çorba,Orta,35,9,4,5,0.444,2,21,False,1,5,0,2,4,Kış,39.36,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,5,3,2,0.6,0,1,False,6,5,1,5,10,Sonbahar,66.0,Medium
Peynirli Tost,Kahvaltı,Kolay,10,10,8,2,0.8,3,30,True,3,3,0,4,1,İlkbahar,90.2,High
Muzlu Pankek,Tatlı,Orta,25,8,3,5,0.375,2,9,True,0,1,4,2,2,İlkbahar,39.52,Low
Yoğurt Çorbası,Çorba,Orta,35,6,6,0,1.0,0,8,False,3,1,4,5,8,İlkbahar,71.6,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,9,8,1,0.889,2,2,False,2,4,4,1,6,Kış,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,7,0,7,0.0,0,17,True,1,2,5,1,1,İlkbahar,3.2,Low
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,7,4,3,0.571,1,22,True,2,1,4,4,2,Kış,53.4,Medium
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,10,2,8,0.2,2,7,False,0,0,1,0,4,Yaz,14.8,Low
Yoğurt Çorbası,Çorba,Orta,35,6,2,4,0.333,0,2,False,1,2,5,1,9,Kış,56.47,Medium
Menemen,Kahvaltı,Kolay,20,8,2,6,0.25,1,26,True,7,6,2,2,2,Sonbahar,62.15,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,8,3,5,0.375,0,8,True,2,3,4,1,14,İlkbahar,65.12,Medium
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,5,0,1.0,2,28,True,6,1,0,5,8,Kış,90.6,High
Fırında Tavuk,Ana Yemek,Orta,45,8,8,0,1.0,4,11,False,0,4,4,0,11,Kış,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,9,4,5,0.444,2,17,True,1,0,2,4,14,Yaz,23.56,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,10,9,1,0.9,1,25,True,8,5,1,4,8,Yaz,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,7,4,3,0.571,4,28,False,4,3,3,3,8,Yaz,100.0,High
Tavuklu Salata,Salata,Orta,25,4,0,4,0.0,0,15,True,3,2,5,3,5,Yaz,21.0,Low
Kıymalı Makarna,Ana Yemek,Orta,30,7,5,2,0.714,1,3,False,5,6,2,2,13,Sonbahar,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,5,1,4,0.2,0,5,True,7,6,1,1,11,İlkbahar,80.0,High
Yoğurt Çorbası,Çorba,Orta,35,4,4,0,1.0,4,29,True,6,1,4,4,3,Yaz,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,6,4,2,0.667,4,13,False,4,3,0,2,3,Sonbahar,72.93,Medium
Tavuklu Sebze Sote,Ana Yemek,Orta,35,5,3,2,0.6,0,10,False,6,6,4,1,12,Yaz,100.0,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,5,3,2,0.6,2,3,False,4,1,5,3,0,Sonbahar,91.0,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,10,5,5,0.5,3,27,True,0,4,0,5,14,İlkbahar,45.5,Medium
Sebzeli Omlet,Kahvaltı,Kolay,15,10,3,7,0.3,3,30,False,6,0,4,1,8,İlkbahar,70.1,Medium
Domates Çorbası,Çorba,Kolay,25,6,3,3,0.5,2,7,False,5,5,1,0,7,Yaz,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,8,0,8,0.0,0,3,False,1,3,2,0,7,Sonbahar,16.4,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,8,8,0,1.0,3,20,False,1,6,2,5,14,Kış,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,10,6,4,0.6,2,9,True,3,3,3,0,14,İlkbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,7,7,0,1.0,4,18,True,6,0,3,0,14,Kış,100.0,High
Domates Çorbası,Çorba,Kolay,25,10,7,3,0.7,1,9,True,5,5,4,1,0,İlkbahar,100.0,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,6,3,3,0.5,2,16,False,7,3,5,0,5,Kış,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,9,4,5,0.444,1,12,True,1,2,3,5,9,Yaz,21.36,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,9,1,8,0.111,0,20,True,5,1,0,4,14,İlkbahar,0.0,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,7,0,7,0.0,0,26,False,2,6,5,0,2,İlkbahar,41.4,Low
Menemen,Kahvaltı,Kolay,20,9,4,5,0.444,4,14,False,5,1,2,5,14,İlkbahar,56.56,Medium
Tavuklu Sebze Sote,Ana Yemek,Orta,35,7,7,0,1.0,0,8,True,6,0,3,4,7,Yaz,89.4,High
Menemen,Kahvaltı,Kolay,20,8,2,6,0.25,0,22,True,0,0,4,4,10,Yaz,0.75,Low
Domates Çorbası,Çorba,Kolay,25,9,2,7,0.222,1,8,True,7,2,0,4,6,İlkbahar,11.98,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,4,4,0,1.0,0,25,False,5,2,2,4,11,Yaz,83.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,4,1,3,0.25,0,15,True,2,2,2,5,15,İlkbahar,15.75,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,5,0,5,0.0,0,30,False,5,4,2,1,14,Yaz,39.0,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,10,8,2,0.8,0,29,True,2,1,5,1,9,Sonbahar,100.0,High
Tavuklu Salata,Salata,Orta,25,9,7,2,0.778,2,19,True,5,1,0,3,14,İlkbahar,85.22,High
Mevsim Salata,Salata,Kolay,10,9,7,2,0.778,4,26,True,0,4,5,2,0,Sonbahar,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,9,4,5,0.444,0,22,False,0,2,2,5,14,İlkbahar,5.56,Low
Peynirli Tost,Kahvaltı,Kolay,10,6,3,3,0.5,2,10,False,5,5,4,4,5,Yaz,85.5,High
Tavuklu Salata,Salata,Orta,25,4,1,3,0.25,0,10,True,4,5,5,5,13,İlkbahar,48.75,Medium
Muzlu Pankek,Tatlı,Orta,25,6,2,4,0.333,2,20,True,6,4,5,0,13,Yaz,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,6,6,0,1.0,0,27,True,0,5,0,2,7,Kış,87.4,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,6,1,5,0.167,1,10,True,0,2,3,2,3,Sonbahar,23.43,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,6,4,2,0.667,4,3,True,6,4,3,4,13,Kış,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,8,0,1.0,0,26,False,3,5,2,3,1,İlkbahar,100.0,High
Tavuklu Salata,Salata,Orta,25,4,0,4,0.0,0,24,False,1,3,1,5,7,Sonbahar,0.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,5,2,0.714,1,11,False,7,2,4,5,11,Sonbahar,89.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,7,0,7,0.0,0,8,True,2,4,4,3,12,Sonbahar,17.0,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,4,3,1,0.75,3,15,False,8,1,0,1,6,Sonbahar,97.45,High
Fırında Tavuk,Ana Yemek,Orta,45,6,1,5,0.167,0,0,False,3,1,1,4,0,Yaz,0.0,Low
Menemen,Kahvaltı,Kolay,20,10,6,4,0.6,0,28,True,6,2,5,0,11,Yaz,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,8,6,2,0.75,2,15,True,4,5,2,2,7,Kış,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,7,6,1,0.857,3,23,True,6,4,0,5,13,Yaz,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,10,9,1,0.9,0,18,True,3,0,2,4,10,Yaz,73.5,Medium
Mevsim Salata,Salata,Kolay,10,10,5,5,0.5,4,6,False,5,1,1,5,4,Yaz,58.3,Medium
Sebze Çorbası,Çorba,Kolay,28,7,7,0,1.0,4,2,False,8,4,4,3,0,İlkbahar,100.0,High
