SameCity,SameDistrict,SameNeighborhood,DistancePriority,NeedScore,ReliabilityScore,CompletedDeliveryCount,CancelledRequestCount,PendingRequestCount,PreviousSuccessfulRequests,ProductRiskLevel,DaysUntilExpiration,IsSensitiveFood,DonorPastShareCount,RequesterPastReceiveCount,RequestHour,ProductCategory,MatchScore,MatchLabel
True,True,False,2,36,82,24,7,6,12,Low,8,False,11,2,16,Et Ürünleri,68.34,Medium
True,True,True,1,96,76,4,2,1,15,High,11,False,16,19,22,Süt Ürünleri,100.0,High
True,True,True,1,57,24,30,4,6,1,Medium,3,True,4,25,12,Pişmiş Yemek,87.28,High
False,False,False,99,24,66,18,3,6,10,Medium,3,False,19,22,14,Sebze,66.94,Medium
True,True,False,2,71,44,12,1,5,11,Medium,0,True,16,20,11,Kuru Gıda,100.0,High
False,False,False,99,49,41,0,5,2,12,Critical,12,True,7,25,14,Konserve,38.34,Low
True,True,False,2,12,60,20,7,4,9,Medium,14,True,7,17,8,Sebze,74.44,Medium
True,True,False,2,60,24,25,1,0,4,High,20,True,1,19,13,Sebze,100.0,High
False,False,False,99,52,69,30,8,2,14,Medium,11,True,0,4,12,Süt Ürünleri,41.38,Low
False,False,False,99,2,75,28,1,0,4,Medium,14,True,11,12,14,Konserve,73.84,Medium
True,False,False,3,23,53,3,7,1,11,Critical,6,True,7,13,19,Kuru Gıda,59.34,Medium
True,True,False,2,30,53,19,3,3,4,Critical,20,False,18,9,17,Sebze,94.38,High
True,False,False,3,57,52,16,6,0,4,Medium,9,False,13,17,22,Pişmiş Yemek,66.26,Medium
True,True,True,1,30,37,24,4,0,3,Low,4,False,9,4,20,Konserve,81.72,High
False,False,False,99,47,22,2,5,5,19,Critical,13,False,20,7,14,Süt Ürünleri,32.86,Low
True,True,False,2,27,27,28,5,3,9,Low,20,True,16,18,11,Et Ürünleri,76.56,High
True,True,False,2,92,21,6,1,1,9,Critical,19,False,18,23,18,Süt Ürünleri,100.0,High
True,True,True,1,86,63,27,3,3,18,Critical,20,True,5,10,19,Sebze,100.0,High
True,False,False,3,81,97,17,6,1,12,Medium,12,True,0,21,9,Pişmiş Yemek,100.0,High
True,False,False,3,54,81,14,7,3,9,High,3,False,0,21,22,Meyve,71.94,Medium
True,True,True,1,57,88,18,3,2,3,Medium,7,True,23,16,8,Konserve,100.0,High
True,False,False,3,37,79,25,0,1,8,Low,1,True,1,6,22,Et Ürünleri,100.0,High
True,True,False,2,84,44,30,3,4,2,Medium,17,False,1,19,10,Et Ürünleri,91.02,High
True,False,False,3,73,97,16,0,0,9,High,5,False,7,12,9,Konserve,100.0,High
