Feature,Importance
DistancePriority,0.2885256599350036
CancelledRequestCount,0.1481450740403571
ReliabilityScore,0.10836501156734464
CompletedDeliveryCount,0.0799945721693113
SameCity,0.0656738613892376
PreviousSuccessfulRequests,0.05933630351558136
NeedScore,0.054456478310559865
RequesterPastReceiveCount,0.041988445495164464
SameDistrict,0.0362773224642193
DaysUntilExpiration,0.02549721409928149
DonorPastShareCount,0.02488660032033597
PendingRequestCount,0.023156093115820103
RequestHour,0.014157865513845206
ProductRiskLevel_Low,0.006440997561777293
IsSensitiveFood,0.005146306571232503
ProductRiskLevel_Critical,0.00324331746013058
SameNeighborhood,0.0022656932452255942
ProductRiskLevel_Medium,0.0022364523387074535
ProductRiskLevel_High,0.001697322114136526
ProductCategory_Pişmiş Yemek,0.0013966905772310092
